EIN,Legal_Name,DBA,Address,City,State,ZIP,Country,Exemption_Type,Revocation_Date,Posting_Date,Reinstatement_Date
020669760,UNITED PARENTS ASSOCIATION,,2830 JACKSON ST,DENVER,CO,80205-5052,US,03,15-MAY-2013,12-AUG-2013,
020674017,WORLD ADVOCATES INC ,,12650 W 64TH AVE UNIT E,ARVADA,CO,80004-3887,US,03,15-MAY-2025,12-AUG-2025,
020676252,TRANSITIONAL LIFE CARE INC ,,438 27TH AVE,GREELEY,CO,80634-2629,US,03,15-FEB-2022,11-MAY-2022,15-FEB-2022
020680029,CONSTRUCTION MANAGEMENT ASSOCIATION,OF AMERICACMAA COLOR,303 E 17TH AVE STE 700,DENVER,CO,80203-1260,US,06,15-MAY-2011,22-FEB-2012,15-MAY-2012
020688420,FLAGSTAFF ACADEMY INC,,2040 MILLER DR,LONGMONT,CO,80501-6748,US,03,15-NOV-2011,09-JUL-2012,15-JUN-2013
020689308,FIELD SUPPORT INC ,,768 S FAIRPLAY CT,AURORA,CO,80012-3767,US,03,15-MAY-2020,11-AUG-2020,
020703396,INSTITUTE OF SPIRITUAL ENFOLDMENT,,1720 S MARSHALL RD TRLR 50,BOULDER,CO,80305-7346,US,03,15-MAY-2010,09-JUN-2011,
020704861,CONSTRUCTION OF A NEW WORLD,,1755 HAWTHORNE PL,BOULDER,CO,80304-2224,US,03,15-MAY-2010,09-JUN-2011,
020711708,PROSPECT VALLEY HOSPITALITY INC,,10400 W 38TH AVE,WHEAT RIDGE,CO,80033-4010,US,03,15-MAY-2011,22-FEB-2012,15-MAY-2011
020712660,COLORADO OBSESSIVE COMPULSIVE ASSOCIATION,,768 S FAIRPLAY CT,AURORA,CO,80012-3767,US,03,15-MAY-2020,11-AUG-2020,
020716012,STARTING OVER,,12253 COUNTY RD 23,CORTEX,CO,81321-9440,US,03,15-MAY-2010,09-JUN-2011,
020716722,TOASTMASTERS INTERNATIONAL ,644254 TENACIOUS TOASTMASTERS,3902 SMOKE TREE DR,COLORADO SPGS,CO,80920-4215,US,03,15-MAY-2023,14-AUG-2023,
020720405,CITIZENS POLICE ACADEMY ALUMNI,ASSOCIATIO,11701 COMMUNITY CENTER DR,NORTHGLENN,CO,80233-1001,US,03,15-MAY-2011,22-FEB-2012,15-MAY-2012
020739056,BIGTIME ATHLETICS FOUNDATION,,PO BOX 323,LIMON,CO,80828-0323,US,03,15-MAY-2012,11-FEB-2013,
020742716,POWER MINISTRIES,,PO BOX 38365,COLORADO SPGS,CO,80937-8365,US,03,15-MAY-2010,09-JUN-2011,
020757887,UNITED STATES BOWLING CONGRESS INC,86004 LA JUNTA USBC YOUTH,2412 JOHNSTON AVE,LA JUNTA,CO,81050-3316,US,03,15-DEC-2012,11-MAR-2013,
020769837,UNITED STATES BOWLING CONGRESS INC,82151 ROCKY FORD MELON USBC BA,29081 COUNTY ROAD 20.75,ROCKY FORD,CO,81067-9424,US,03,15-DEC-2010,10-AUG-2011,
020790949,IMA COMPETITION TEAM FUNDRAISING,,1340 MAIN ST,LOUISVILLE,CO,80027-1519,US,03,15-MAY-2010,09-JUN-2011,
020813083,TRANSFORMATION PROJECT PRISON,,5209 MONTVIEW BLVD,DENVER,CO,80207-3848,US,03,15-MAY-2013,12-AUG-2013,15-MAY-2013
020813419,COLORADO INTENSITY VOLLEYBALL CLUB,,36831 VIEW RIDGE DR,ELIZABETH,CO,80107-8556,US,03,15-NOV-2012,11-MAR-2013,
020813556,ASSOCIATION OF COMMUNITIES NEAR,,8310 HOYT WAY,ARVADA,CO,80005-2100,US,03,15-MAY-2011,13-AUG-2012,
026129218,DHARMA CHARITABLE FOUNDATION TR,DUKE KAREN O GTR TTEE,2940 E COLFAX STE 237,DENVER,CO,80206-1605,US,03,15-MAY-2010,09-JUN-2011,
030269921,FREEDOM MINISTRIES NORTHEAST,,518 N CHELTON RD STE E,COLORADO SPGS,CO,80909-5257,US,03,15-MAY-2010,09-JUN-2011,
030388506,ST VRAIN VALLEY COMMUNITY WATCHDOGS,,5976 HYGIENE RD,LONGMONT,CO,80503-9152,US,03,15-MAY-2010,09-JUN-2011,
030398471,AMERICAN FEDERATION OF TEACHERS,COLORADO CLASSIF ORG PROJECT,901 W 14TH AVE STE 4,DENVER,CO,80204-2559,US,05,15-NOV-2012,11-MAR-2013,
030399143,WESTMINSTER FOOTBALL CLUB,,10343 FEDERAL BLVD UNIT J-253,DENVER,CO,80260-7402,US,03,15-NOV-2010,13-JUL-2011,
030407139,HIGH PLAINS MARKSMEN INC,,10971 N SUNSHINE DR,LITTLETON,CO,80125-9431,US,03,15-MAY-2010,09-JUN-2011,
030413991,PANGEA INSTITUTE,,6880 WINCHESTER CIRCLE,BOULDER,CO,80301-3524,US,03,15-MAY-2012,11-FEB-2013,
030417503,TOUR COLORADO ,,PO BOX 4017,DURANGO,CO,81302-401,US,06,15-MAY-2024,11-FEB-2025,
030425273,MUD ANGELS,,2105 SOUTH COLLEGE AVE,FORT COLLINS,CO,80525-1496,US,03,15-MAY-2013,12-AUG-2013,
030428788,LOVELAND HIGH SCHOOL ALUMNI ASSOCIATION INC,,3346 ASH AVE,LOVELAND,CO,80538-2518,US,03,15-NOV-2014,09-MAR-2015,
030447728,LIFE FELLOWSHIP,,950 S CHERRY ST STE 900,DENVER,CO,80246-2666,US,03,15-MAY-2010,09-JUN-2011,
030448303,AYERS SENIORS AND FAMILY OUTREACH,,926 CORAL CT,CASTLE ROCK,CO,80104-1610,US,03,15-DEC-2010,10-AUG-2011,
030458068,BUSINESS EDUCATION FUND,,410 SEVENTEENTH ST STE 1705,DENVER,CO,80202-4430,US,06,15-DEC-2010,10-AUG-2011,
030483069,CHILDRENS OPPORTUNITY SOURCE,,1509 S SALIDA WAY,AURORA,CO,80017-4207,US,03,15-MAY-2010,09-JUN-2011,
030485467,HAVEN OF RESTORATION INC,,89 CRYSTAL PARK RD APT A,MANITOU SPGS,CO,80829-2552,US,03,15-MAY-2010,09-JUN-2011,
030485669,WILLOWNOOK HOA,,PO BOX 274,ELIZABETH,CO,80107-0274,US,04,15-MAY-2010,27-AUG-2012,15-MAY-2010
030486128,GREENERGY INVESTMENTS FOUNDATION,,9353 3400 RD,HOTCHKISS,CO,81419-6727,US,03,15-MAY-2010,09-JUN-2011,
030494318,WILDERNESS MINISTRIES INTERNATIONAL,,8252 UNION CT,ARVADA,CO,80005-1900,US,03,15-MAY-2010,09-JUN-2011,
030496133,SERVANTS OF THE RISEN SAVIOR JESUS- HOLY TRINITY,,PO BOX 474,HENDERSON,CO,80640-0474,US,03,15-MAY-2024,12-AUG-2024,
030525663,COLORADO WILD,CO WILD BASKETBALL,5545 HOMESTEAD WAY,BOULDER,CO,80301-3503,US,03,15-DEC-2010,10-AUG-2011,
030526440,COMPNAR UNLIMITED,,UNIT 3,COLORADO SPRINGS,CO,80918-0000,US,03,15-MAY-2011,22-FEB-2012,
030527524,FACEIT COMMUNITY INCORPORATED,,825 IVANHOE ST,DENVER,CO,80220-4442,US,03,15-MAY-2011,22-FEB-2012,15-MAY-2011
030527524,FACEIT COMMUNITY INCORPORATED ,,825 IVANHOE ST,DENVER,CO,80220-4442,US,03,15-MAY-2021,02-AUG-2022,
030530572,ROLLING THUNDER INC,1 COLORADO CHAPTER,PO BOX 661,LITTLETON,CO,80160-0661,US,04,15-MAY-2010,09-JUN-2011,15-DEC-2021
030537648,A WALK TO REMEMBER,,6417 S INGALLS ST,LITTLETON,CO,80123-3892,US,03,15-MAY-2010,09-JUN-2011,
030546532,HEADGATE 83 DITCH INC,,600 COUNTY ROAD 216,RIFLE,CO,81650-9103,US,05,15-MAY-2010,09-JUN-2011,
030588261,IT TAKES A VILLAGE CHILDRENS CENTER OF BOULDER INC,,5511 LA PLATA CIR,BOULDER,CO,80301-3525,US,03,15-MAY-2022,08-AUG-2022,
030588988,ACTS 29 USA INC,,PO BOX 369,HENDERSON,CO,80640-0369,US,03,15-MAY-2012,11-MAR-2013,
030589584,UNITED STATES BOWLING CONGRESS INC ,86286 STERLING USBC,14265 SUMMIT DR,STERLING,CO,80751-9034,US,03,15-DEC-2014,09-MAR-2015,15-DEC-2014
030589584,UNITED STATES BOWLING CONGRESS INC ,86286 STERLING USBC,14265 SUMMIT DR,STERLING,CO,80751-9034,US,03,15-DEC-2017,13-MAR-2018,15-DEC-2017
030591654,POMONA GIRLS VOLLEYBALL BOOSTERS,,8101 W POMONA DR,ARVADA,CO,80005-2572,US,03,15-MAY-2012,11-FEB-2013,15-MAY-2012
030604740,GRAND VALLEY FIGURE SKATING CLUB,,PO BOX 130,CLIFTON,CO,81520-0130,US,03,15-MAY-2012,11-FEB-2013,
030611680,ESTES PARK COMMUNITY THRIFT SHOP INC,,PO BOX 2255,ESTES PARK,CO,80517-2255,US,03,15-MAY-2021,09-AUG-2021,
036015085,NATIONAL ASSOCIATION OF LETTER,CARRIERS2245 WOODSTOC,3418 SUN DISK CT,FORT COLLINS,CO,80526-5945,US,05,15-MAY-2010,09-JUN-2011,
036080436,VAIL ANESTHESIA ASSOCIATES PC VEBA,TRSHIFFRIN JEFFREY S T,181 W MEADOW DR,VAIL,CO,81657-5242,US,09,15-MAY-2010,09-JUN-2011,
042581592,LOTSAWA,,PO BOX 17127,BOULDER,CO,80308-0127,US,03,15-JAN-2011,07-SEP-2011,
042603989,RUSTIC RIDGE ASSOCIATION INC ,,3900 DIVOT CT,LONGMONT,CO,80503-8302,US,04,15-DEC-2018,11-MAR-2019,15-DEC-2018
043190469,GODS EXTENDED HANDS MINISTRY,,21867 E ALAMO LN,CENTENNIAL,CO,80015-3511,US,03,15-MAY-2011,22-FEB-2012,
043361862,A CENTER FOR THE AWARENESS OF PATTERN,,1650 WEWATTA ST APT 1306,DENVER,CO,80202-6271,US,03,15-MAR-2020,08-JUN-2020,
043601082,STEPSTONE CENTER,,PO BOX 2026,CARBONDALE,CO,81623-5026,US,03,15-MAY-2012,11-FEB-2013,
043603250,TATANKA EDUCATIONAL MULTI MEDIA INC,,1278 N DECKERS PL,CASTLE ROCK,CO,80104-9771,US,03,15-MAY-2010,09-JUN-2011,
043606259,THE VEGAN VENUE INC ,,6500 S DAYTON STREET D-30,CENTENNIAL,CO,80111-6153,US,03,15-MAY-2018,13-AUG-2018,
043616629,PTA COLORADO CONGRESS ,KOHL ELEMENTARY PTA,1000 W 10TH AVE,BROOMFIELD,CO,80020-1854,US,03,15-NOV-2022,13-MAR-2023,15-NOV-2022
043623700,HORSETOOTH PRODUCTIONS ,,1308 ALFORD ST,FORT COLLINS,CO,80524-4218,US,03,15-MAY-2018,13-AUG-2018,
043629156,COLORADO ARTIST COALITION INC,,1072 S EMERSON ST,DENVER,CO,80209-4332,US,03,15-MAY-2010,07-OCT-2011,
043655364,FRONT RANGE ASSOCIATION OF HEALTH UNDERWRITERS,,PO BOX 6367,LONGMONT,CO,80501-2078,US,06,15-NOV-2023,11-MAR-2024,
043661362,HOUND HEAVEN LIMITED,HAND IN PAW,1033 S BEECH DR,LAKEWOOD,CO,80228-3418,US,03,15-MAY-2010,09-JUN-2011,
043673877,YOUTH ORCHESTRA OF NORTHERN,COLORADOYOUNG ARTISTS PHILHARMO,PO BOX 272744,FORT COLLINS,CO,80527-2744,US,03,15-MAY-2010,09-JUN-2011,
043683753,THE@ABBY & JENNIFER RECOVERY,,359 COLORADO AVE UNIT 303,GRAND JCT,CO,81501-2478,US,03,15-MAY-2010,09-JUN-2011,
043688297,CARING FOR KIDS,,6624 S BLACKHAWK ST,CENTENNIAL,CO,80111-6610,US,03,15-MAY-2010,09-JUN-2011,
043696339,STAR CHASERS YOUTH GROUP,,4069 W HWY 160,MONTE VISTA,CO,81144-0000,US,03,15-MAY-2010,09-JUN-2011,
043699352,GOLDEN INDEPENDENT SCHOOL,,14955 W 53RD AVE,GOLDEN,CO,80403-1295,US,03,15-JAN-2012,11-SEP-2012,
043707419,BOULDER ALLIANCE OF HEALTHCARE,PRA,2975 VALMONT RD STE 300,BOULDER,CO,80301-1361,US,06,15-MAY-2010,09-JUN-2011,
043717345,PTA COLORADO CONGRESS,LENA ARCHULETA PTA,16000 MAXWELL PL,DENVER,CO,80239-5246,US,03,15-NOV-2012,11-MAR-2013,
043727063,COLORADO SCHOOL RESOURCE CENTER,,7979 EAST TUFTS AVENUE,DENVER,CO,80237-2843,US,03,15-MAY-2011,22-FEB-2012,
043739493,DSV-DISASTER SUPPORT VOLUNTEERS INC ,,82 TOPAZ ST,GOLDEN,CO,80401-4957,US,03,15-MAY-2018,13-AUG-2018,
043742971,OPENED GATES MINISTRIES,,609 BENNETT AVE APT D,COLORADO SPGS,CO,80909-4975,US,03,15-MAY-2012,11-FEB-2013,
043760602,ROARING FORK PUBLIC EDUCATION FOUNDATION INC,,PO BOX 1275,CARBONDALE,CO,81623-1275,US,03,15-NOV-2016,13-MAR-2017,
043768058,DESEO INC,,2502 KENDALL ST,EDGEWATER,CO,80214-1002,US,03,15-MAY-2010,09-JUN-2011,
043786413,RUNPIKESPEAK INC ,,833 N TEJON ST,COLORADO SPGS,CO,80903-4707,US,03,15-MAY-2016,08-AUG-2016,
043789809,GRAND COUNTY BUSINESS AND ECONOMIC DEVELOPMENT ASSOCIATION,,PO BOX 29,WINTER PARK,CO,80482-0029,US,03,15-FEB-2013,14-APR-2014,
043822744,RENEGADE ARTISTS GROUP,,PO BOX 3212,ESTES PARK,CO,80517-3212,US,03,15-FEB-2011,07-OCT-2011,
043825472,NATIONAL ORGANIZATION OF BLACK LAW ENFORCEMENT EXECUTIVES,ROCKY MOUNTAIN COLORADO CHAPTER,1331 CHEROKEE ST,DENVER,CO,80204-2720,US,03,15-MAY-2015,10-AUG-2015,
043827155,CHRIST FOR LIFE MINISTRY INC,,PO BOX 881802,STEAMBOAT SPR,CO,80488-1802,US,03,15-MAY-2013,21-OCT-2013,
043827255,ELDON LANGFORD RANCH,,3129 COUNTY ROAD 112,RYE,CO,81069-8907,US,03,15-MAY-2011,22-FEB-2012,15-MAY-2011
043841683,THE DENVER INDEPENDENT,CHO,3853 MEADE ST,DENVER,CO,80211-1948,US,03,15-MAY-2010,09-JUN-2011,15-MAY-2010
046240623,CLASS OF 1970 TRUST,,4832 E HINSDALE PL,LITTLETON,CO,80122-2465,US,03,15-MAY-2010,09-JUN-2011,
050534731,INTERNATIONAL ASSOCIATION OF LIONS,51353 DENVER EAST,3090 ADAMS ST,DENVER,CO,80205-4926,US,04,15-MAY-2012,11-FEB-2013,
050549622,CHURCH OF THE MOST HIGH ,,303 HIGH MESA COURT,COLORADO SPRINGS,CO,80905-0000,US,03,15-MAY-2010,21-FEB-2015,15-JAN-2015
050558215,COLORADO 4-H FOUNDATION INC ,SAN LUIS VALLEY 4-H FOUNDATION,1899 E HWY 160,MONTE VISTA,CO,81144-0000,US,03,15-MAY-2018,13-AUG-2018,
050558771,ROBIN BROWNS NEST INC,,5629 WHISKEY RIVER DR,COLORADO SPGS,CO,80923-4112,US,03,15-MAY-2010,09-JUN-2011,
050561516,VETERANS OUTREACH FOR COMMUNITY,,600 W NORTHERN AVE STE 2,PUEBLO,CO,81004-3139,US,03,15-MAY-2010,09-JUN-2011,
050582143,AMERICAN CAMBODIAN FRIENDSHIP,,6196 ESTES ST,ARVADA,CO,80004-5446,US,03,15-MAY-2013,12-AUG-2013,
050592379,USAFA OPERATION WARM HEART ,,4102 PINION DRIVE SUITE 4030,USAF ACADEMY,CO,80840-0000,US,03,15-MAY-2010,25-NOV-2014,15-OCT-2014
050596204,D D BASEBALL ASSOCIATION,,300 MESA HEIGHTS DR,DURANGO,CO,81303-4745,US,03,15-MAY-2010,09-JUN-2011,
050602924,COURSE COMMUNITITY CORRECTIONS INC,,16199 E 48TH AVE APT 2612,DENVER,CO,80239-5726,US,03,15-MAY-2010,09-JUN-2011,
050605683,KNIGHTS OF COLUMBUS ,13559 COUNCIL ST THERESA,PO BOX 937,FIRESTONE,CO,80520-0937,US,08,15-MAY-2022,08-AUG-2022,
050605721,BUILDING CHILDREN OF PROMISE- INTERNATIONAL,,PO BOX 2603,LOVELAND,CO,80539-2603,US,03,15-JUN-2019,16-SEP-2019,
050607864,NEXT STAGE,,1702 CATO CIR,LAFAYETTE,CO,80026-1303,US,03,15-MAY-2011,22-FEB-2012,
050608917,TERRA NOVA ASSISTED LIVING INC,,PO BOX 1022,PAONIA,CO,81428-1022,US,03,15-MAY-2010,09-JUN-2011,
050612311,HELP HEAL THE CHILDREN,,PO BOX 462262,AURORA,CO,80046-2262,US,03,15-MAY-2010,07-OCT-2011,15-MAY-2010
